cenario,perda,delay,stall_events_media,stall_events_ic95,avg_bitrate_selected_kbps_media,avg_bitrate_selected_kbps_ic95,quality_switches_media,quality_switches_ic95,http_goodput_kbps_media,http_goodput_kbps_ic95,tcp_conn_ms_media,tcp_conn_ms_ic95,http_ok_pct_media,http_ok_pct_ic95,rtt_ms_media,rtt_ms_ic95,jitter_ms_media,jitter_ms_ic95,stall_por_minuto_media,stall_por_minuto_ic95
p0_d0,0,0,0.0,0.0,8000.0,0.0,2.0,0.0,82870.1,697.58,6.35,0.0,100.0,0.0,6.19,0.0,0.1,0.0,0.0,0.0
p0_d50,0,50,0.0,0.0,8000.0,0.0,2.0,0.0,30788.22,159.86,56.25,0.41,100.0,0.0,56.26,0.08,4.57,0.09,0.0,0.0
p0_d200,0,200,0.03,0.02,7547.72,4.55,4.0,0.0,8322.47,35.69,205.98,0.66,100.0,0.0,206.48,0.38,8.38,0.23,0.03,0.02
p0_d500,0,500,4.13,0.62,1200.0,0.0,0.0,0.0,953.78,2.08,505.92,2.54,100.0,0.0,506.09,0.91,16.41,0.66,4.13,0.62
p1_d0,1,0,0.0,0.0,8000.0,0.0,2.0,0.0,82358.08,578.1,10.62,4.89,100.0,0.0,6.19,0.0,0.1,0.0,0.0,0.0
p1_d50,1,50,0.0,0.0,8000.0,0.0,2.0,0.0,30237.56,301.65,67.56,8.29,100.0,0.0,56.39,0.12,4.65,0.09,0.0,0.0
p1_d200,1,200,0.07,0.03,7418.74,101.18,3.87,0.34,8080.85,110.55,214.57,6.82,100.0,0.0,206.46,0.32,8.35,0.3,0.07,0.03
p1_d500,1,500,4.2,0.62,1200.0,0.0,0.0,0.0,946.59,6.57,520.57,14.13,100.0,0.0,506.61,0.97,16.98,0.73,4.2,0.62
p5_d0,5,0,0.0,0.0,8000.0,0.0,2.0,0.0,77812.09,1539.12,60.14,23.77,100.0,0.0,6.18,0.0,0.11,0.0,0.0,0.0
p5_d50,5,50,0.0,0.0,8000.0,0.0,2.0,0.0,29116.13,500.23,107.83,18.88,100.0,0.0,56.38,0.11,4.56,0.08,0.0,0.0
p5_d200,5,200,0.27,0.19,7167.06,178.05,4.2,0.41,7677.23,230.29,256.96,18.44,100.0,0.0,206.26,0.44,8.26,0.28,0.27,0.19
p5_d500,5,500,4.7,0.56,1200.0,0.0,0.0,0.0,928.6,7.66,555.85,29.4,100.0,0.0,505.82,0.91,16.77,0.62,4.7,0.56
p15_d0,15,0,0.03,0.02,8000.0,0.0,2.0,0.0,67618.12,2258.65,178.91,35.95,100.0,0.0,6.17,0.0,0.11,0.0,0.03,0.02
p15_d50,15,50,0.1,0.05,8000.0,0.0,2.0,0.0,25618.3,600.68,251.28,34.51,100.0,0.0,56.46,0.12,4.56,0.1,0.1,0.05
p15_d200,15,200,1.17,0.38,6185.37,266.35,4.93,0.99,6343.16,298.93,398.97,32.41,100.0,0.0,206.24,0.48,7.88,0.27,1.17,0.38
p15_d500,15,500,7.43,0.58,1200.0,0.0,0.0,0.0,851.74,13.73,697.68,52.18,100.0,0.0,505.45,1.2,16.17,0.63,7.43,0.58
