cenario_id,perda_cfg,delay_cfg,jitter_cfg,repeticao,timestamp,ping_count,stall_events,avg_bitrate_selected_kbps,quality_switches,up_switches,down_switches,http_goodput_kbps,goodput_min_kbps,goodput_max_kbps,goodput_std_kbps,tcp_conn_ms,tcp_conn_min_ms,tcp_conn_max_ms,tcp_conn_std_ms,http_ok_pct,rtt_ms,jitter_ms,perda_medida,n_amostras
p0_d0,0,0,0,1,2026-06-07T15:49:21.768971,10,0,8000.0,2,2,0,72980.32,53802.78,86848.57,8466.51,6.32,6.11,6.58,0.11,100.0,6.18,0.07,0.0,24
p0_d0,0,0,0,2,2026-06-07T15:51:01.803845,10,0,8000.0,2,2,0,83189.66,53856.64,87308.22,6840.75,6.35,6.25,6.37,0.04,100.0,6.19,0.11,0.0,24
p0_d0,0,0,0,3,2026-06-07T15:52:41.829618,10,0,8000.0,2,2,0,83207.3,54209.98,87497.82,6777.87,6.35,6.28,6.38,0.03,100.0,6.19,0.11,0.0,24
p0_d0,0,0,0,4,2026-06-07T15:54:21.855019,10,0,8000.0,2,2,0,83241.13,53963.64,87327.62,6815.93,6.34,6.09,6.4,0.07,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,5,2026-06-07T15:56:01.880733,10,0,8000.0,2,2,0,83202.9,53967.89,87459.56,6817.93,6.35,6.28,6.39,0.03,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,6,2026-06-07T15:57:41.906314,10,0,8000.0,2,2,0,83201.35,54023.15,87369.1,6801.3,6.35,6.27,6.39,0.03,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,7,2026-06-07T15:59:21.931562,10,0,8000.0,2,2,0,83251.12,54169.3,87612.43,6778.46,6.35,6.27,6.41,0.03,100.0,6.18,0.11,0.0,24
p0_d0,0,0,0,8,2026-06-07T16:01:01.957065,10,0,8000.0,2,2,0,83212.46,53996.57,87345.34,6802.46,6.36,6.27,6.39,0.02,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,9,2026-06-07T16:02:41.982679,10,0,8000.0,2,2,0,83232.48,54114.8,87353.37,6808.08,6.36,6.27,6.4,0.02,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,10,2026-06-07T16:04:22.008131,10,0,8000.0,2,2,0,83244.64,54127.62,87366.76,6771.62,6.36,6.32,6.37,0.01,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,11,2026-06-07T16:06:02.033757,10,0,8000.0,2,2,0,83273.34,54136.16,87481.37,6775.09,6.36,6.21,6.45,0.04,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,12,2026-06-07T16:07:42.059262,10,0,8000.0,2,2,0,83175.89,54027.41,87379.81,6778.78,6.34,6.27,6.38,0.04,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,13,2026-06-07T16:09:22.084594,10,0,8000.0,2,2,0,83187.24,54129.75,87479.02,6796.23,6.36,6.32,6.39,0.01,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,14,2026-06-07T16:11:02.110046,10,0,8000.0,2,2,0,83225.67,54000.82,87324.61,6800.56,6.35,6.28,6.38,0.02,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,15,2026-06-07T16:12:42.135695,10,0,8000.0,2,2,0,83288.02,54199.26,87634.98,6755.34,6.34,6.18,6.37,0.05,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,16,2026-06-07T16:14:22.161684,10,0,8000.0,2,2,0,83145.24,53979.57,87347.02,6794.57,6.34,6.09,6.44,0.06,100.0,6.2,0.1,0.0,24
p0_d0,0,0,0,17,2026-06-07T16:16:02.187326,10,0,8000.0,2,2,0,83199.42,54178.93,87276.49,6762.14,6.35,6.28,6.38,0.03,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,18,2026-06-07T16:17:42.212896,10,0,8000.0,2,2,0,83210.18,54169.3,87392.2,6790.55,6.35,6.24,6.4,0.04,100.0,6.2,0.09,0.0,24
p0_d0,0,0,0,19,2026-06-07T16:19:22.238562,10,0,8000.0,2,2,0,83199.21,54217.47,87382.82,6765.56,6.35,6.26,6.39,0.03,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,20,2026-06-07T16:21:02.263934,10,0,8000.0,2,2,0,83256.32,53992.32,87331.63,6807.49,6.35,6.27,6.4,0.04,100.0,6.19,0.11,0.0,24
p0_d0,0,0,0,21,2026-06-07T16:22:42.289519,10,0,8000.0,2,2,0,83213.91,54199.26,87378.14,6782.07,6.35,6.27,6.38,0.03,100.0,6.19,0.11,0.0,24
p0_d0,0,0,0,22,2026-06-07T16:24:22.315077,10,0,8000.0,2,2,0,83187.66,54126.54,87477.34,6797.93,6.36,6.28,6.39,0.02,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,23,2026-06-07T16:26:02.340690,10,0,8000.0,2,2,0,83218.58,54267.88,87303.22,6761.9,6.35,6.27,6.37,0.03,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,24,2026-06-07T16:27:42.366410,10,0,8000.0,2,2,0,83175.39,54180.0,87382.15,6807.55,6.36,6.3,6.38,0.01,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,25,2026-06-07T16:29:22.391780,10,0,8000.0,2,2,0,83188.64,53993.38,87375.46,6810.9,6.35,6.27,6.38,0.02,100.0,6.19,0.11,0.0,24
p0_d0,0,0,0,26,2026-06-07T16:31:02.417003,10,0,8000.0,2,2,0,83201.36,53937.12,87444.81,6804.8,6.35,6.27,6.38,0.03,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,27,2026-06-07T16:32:42.442614,10,0,8000.0,2,2,0,83255.34,54150.06,87402.92,6764.01,6.34,6.27,6.36,0.03,100.0,6.19,0.11,0.0,24
p0_d0,0,0,0,28,2026-06-07T16:34:22.468153,10,0,8000.0,2,2,0,83182.68,54235.7,87461.58,6765.81,6.35,6.28,6.38,0.03,100.0,6.2,0.1,0.0,24
p0_d0,0,0,0,29,2026-06-07T16:36:02.493626,10,0,8000.0,2,2,0,83170.23,54135.1,87344.01,6777.27,6.34,6.25,6.42,0.05,100.0,6.19,0.1,0.0,24
p0_d0,0,0,0,30,2026-06-07T16:37:42.519157,10,0,8000.0,2,2,0,83185.43,53973.2,87311.9,6806.95,6.35,6.28,6.39,0.02,100.0,6.2,0.1,0.0,24
p0_d50,0,50,5,1,2026-06-07T16:39:22.544618,10,0,8000.0,2,2,0,30716.25,8611.87,38634.94,6882.35,56.62,44.48,65.86,5.19,100.0,56.24,4.64,0.0,24
p0_d50,0,50,5,2,2026-06-07T16:41:12.766548,10,0,8000.0,2,2,0,30206.2,8453.39,39314.63,6771.75,54.75,47.24,65.5,4.92,100.0,56.46,4.09,0.0,24
p0_d50,0,50,5,3,2026-06-07T16:43:03.045478,10,0,8000.0,2,2,0,30273.11,8640.43,38513.59,7130.07,56.56,41.6,69.11,7.06,100.0,56.34,4.53,0.0,24
p0_d50,0,50,5,4,2026-06-07T16:44:53.338524,10,0,8000.0,2,2,0,30528.41,8813.06,39560.68,7193.16,54.71,47.98,66.01,4.77,100.0,56.05,4.6,0.0,24
p0_d50,0,50,5,5,2026-06-07T16:46:43.477707,10,0,8000.0,2,2,0,30158.73,8335.5,38653.3,7140.89,55.42,45.0,64.55,4.85,100.0,56.49,4.91,0.0,24
p0_d50,0,50,5,6,2026-06-07T16:48:33.776649,10,0,8000.0,2,2,0,30671.28,8544.68,39494.16,7400.98,54.5,40.05,63.86,6.04,100.0,56.15,4.51,0.0,24
p0_d50,0,50,5,7,2026-06-07T16:50:23.959402,10,0,8000.0,2,2,0,30975.42,8401.13,38930.9,7258.8,56.32,45.28,69.78,5.7,100.0,56.51,4.41,0.0,24
p0_d50,0,50,5,8,2026-06-07T16:52:14.086728,10,0,8000.0,2,2,0,30518.56,8237.58,39449.34,7131.64,55.79,45.89,64.54,4.1,100.0,56.29,4.93,0.0,24
p0_d50,0,50,5,9,2026-06-07T16:54:04.372719,10,0,8000.0,2,2,0,30535.86,8548.99,39577.3,7256.31,55.49,44.54,63.47,4.49,100.0,55.81,4.55,0.0,24
p0_d50,0,50,5,10,2026-06-07T16:55:54.561770,10,0,8000.0,2,2,0,31556.51,8262.39,39297.26,7392.13,54.29,39.18,64.12,5.61,100.0,56.36,4.72,0.0,24
p0_d50,0,50,5,11,2026-06-07T16:57:44.681154,10,0,8000.0,2,2,0,31007.99,8283.42,38622.93,7025.17,56.3,44.63,64.04,5.62,100.0,56.67,4.55,0.0,24
p0_d50,0,50,5,12,2026-06-07T16:59:34.841584,10,0,8000.0,2,2,0,30938.7,8232.61,40207.14,7413.06,55.24,43.7,64.28,5.18,100.0,55.96,4.13,0.0,24
p0_d50,0,50,5,13,2026-06-07T17:01:25.020858,10,0,8000.0,2,2,0,29752.77,8208.0,38457.26,7031.34,56.16,51.8,67.97,4.19,100.0,56.16,4.48,0.0,24
