metrica,campo,unidade,perda,delay,media,ic95,std
Stall events,stall_events,eventos/rep,0,0,0.0,0.0,0.0
Stall events,stall_events,eventos/rep,0,50,0.0,0.0,0.0
Stall events,stall_events,eventos/rep,0,200,0.0333,0.0167,0.1826
Stall events,stall_events,eventos/rep,0,500,4.1333,0.6181,1.6554
Stall events,stall_events,eventos/rep,1,0,0.0,0.0,0.0
Stall events,stall_events,eventos/rep,1,50,0.0,0.0,0.0
Stall events,stall_events,eventos/rep,1,200,0.0667,0.0333,0.2537
Stall events,stall_events,eventos/rep,1,500,4.2,0.6233,1.6692
Stall events,stall_events,eventos/rep,5,0,0.0,0.0,0.0
Stall events,stall_events,eventos/rep,5,50,0.0,0.0,0.0
Stall events,stall_events,eventos/rep,5,200,0.2667,0.1945,0.5208
Stall events,stall_events,eventos/rep,5,500,4.7,0.5646,1.512
Stall events,stall_events,eventos/rep,15,0,0.0333,0.0167,0.1826
Stall events,stall_events,eventos/rep,15,50,0.1,0.05,0.3051
Stall events,stall_events,eventos/rep,15,200,1.1667,0.3808,1.0199
Stall events,stall_events,eventos/rep,15,500,7.4333,0.5775,1.5466
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,0,0,8000.0,0.0,0.0
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,0,50,8000.0,0.0,0.0
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,0,200,7547.715,4.5512,12.1883
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,0,500,1200.0,0.0,0.0
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,1,0,8000.0,0.0,0.0
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,1,50,8000.0,0.0,0.0
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,1,200,7418.737,101.1824,270.9713
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,1,500,1200.0,0.0,0.0
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,5,0,8000.0,0.0,0.0
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,5,50,8000.0,0.0,0.0
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,5,200,7167.0587,178.0501,476.8269
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,5,500,1200.0,0.0,0.0
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,15,0,8000.0,0.0,0.0
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,15,50,8000.0,0.0,0.0
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,15,200,6185.3733,266.347,713.2903
Bitrate ABR,avg_bitrate_selected_kbps,Kbps,15,500,1200.0,0.0,0.0
Quality switches,quality_switches,total/rep,0,0,2.0,0.0,0.0
Quality switches,quality_switches,total/rep,0,50,2.0,0.0,0.0
Quality switches,quality_switches,total/rep,0,200,4.0,0.0,0.0
Quality switches,quality_switches,total/rep,0,500,0.0,0.0,0.0
Quality switches,quality_switches,total/rep,1,0,2.0,0.0,0.0
Quality switches,quality_switches,total/rep,1,50,2.0,0.0,0.0
Quality switches,quality_switches,total/rep,1,200,3.8667,0.3359,0.8996
Quality switches,quality_switches,total/rep,1,500,0.0,0.0,0.0
Quality switches,quality_switches,total/rep,5,0,2.0,0.0,0.0
Quality switches,quality_switches,total/rep,5,50,2.0,0.0,0.0
Quality switches,quality_switches,total/rep,5,200,4.2,0.409,1.0954
Quality switches,quality_switches,total/rep,5,500,0.0,0.0,0.0
Quality switches,quality_switches,total/rep,15,0,2.0,0.0,0.0
Quality switches,quality_switches,total/rep,15,50,2.0,0.0,0.0
Quality switches,quality_switches,total/rep,15,200,4.9333,0.9949,2.6644
Quality switches,quality_switches,total/rep,15,500,0.0,0.0,0.0
HTTP Goodput,http_goodput_kbps,Kbps,0,0,82870.1037,697.5847,1868.166
HTTP Goodput,http_goodput_kbps,Kbps,0,50,30788.2237,159.8586,428.1092
HTTP Goodput,http_goodput_kbps,Kbps,0,200,8322.466,35.6877,95.5735
HTTP Goodput,http_goodput_kbps,Kbps,0,500,953.784,2.0753,5.5577
HTTP Goodput,http_goodput_kbps,Kbps,1,0,82358.0813,578.0959,1548.1692
HTTP Goodput,http_goodput_kbps,Kbps,1,50,30237.5613,301.6523,807.8397
HTTP Goodput,http_goodput_kbps,Kbps,1,200,8080.8493,110.5515,296.0622
HTTP Goodput,http_goodput_kbps,Kbps,1,500,946.5923,6.5698,17.5943
HTTP Goodput,http_goodput_kbps,Kbps,5,0,77812.092,1539.116,4121.8283
HTTP Goodput,http_goodput_kbps,Kbps,5,50,29116.1263,500.2277,1339.6343
HTTP Goodput,http_goodput_kbps,Kbps,5,200,7677.2287,230.2865,616.7187
HTTP Goodput,http_goodput_kbps,Kbps,5,500,928.599,7.6575,20.507
HTTP Goodput,http_goodput_kbps,Kbps,15,0,67618.123,2258.6522,6048.7817
HTTP Goodput,http_goodput_kbps,Kbps,15,50,25618.3037,600.6822,1608.6565
HTTP Goodput,http_goodput_kbps,Kbps,15,200,6343.164,298.9338,800.5594
HTTP Goodput,http_goodput_kbps,Kbps,15,500,851.7383,13.7288,36.7663
TCP connection,tcp_conn_ms,ms,0,0,6.3493,0.0032,0.0087
TCP connection,tcp_conn_ms,ms,0,50,56.2497,0.4133,1.1068
TCP connection,tcp_conn_ms,ms,0,200,205.9827,0.6629,1.7752
TCP connection,tcp_conn_ms,ms,0,500,505.9207,2.5402,6.8027
TCP connection,tcp_conn_ms,ms,1,0,10.6243,4.8895,13.0944
TCP connection,tcp_conn_ms,ms,1,50,67.5603,8.2883,22.1965
TCP connection,tcp_conn_ms,ms,1,200,214.5743,6.8161,18.2538
TCP connection,tcp_conn_ms,ms,1,500,520.5687,14.1265,37.8314
TCP connection,tcp_conn_ms,ms,5,0,60.1423,23.7669,63.6489
TCP connection,tcp_conn_ms,ms,5,50,107.83,18.8845,50.5735
TCP connection,tcp_conn_ms,ms,5,200,256.9573,18.4403,49.384
TCP connection,tcp_conn_ms,ms,5,500,555.8487,29.3994,78.733
TCP connection,tcp_conn_ms,ms,15,0,178.9077,35.9455,96.2639
TCP connection,tcp_conn_ms,ms,15,50,251.2787,34.5098,92.4191
TCP connection,tcp_conn_ms,ms,15,200,398.9723,32.4125,86.8023
TCP connection,tcp_conn_ms,ms,15,500,697.6843,52.1801,139.7408
HTTP OK,http_ok_pct,%,0,0,100.0,0.0,0.0
HTTP OK,http_ok_pct,%,0,50,100.0,0.0,0.0
HTTP OK,http_ok_pct,%,0,200,100.0,0.0,0.0
HTTP OK,http_ok_pct,%,0,500,100.0,0.0,0.0
